titre,acronym,rankc
IEEE International Conference on Signal Processing and Communication,ICSPC,C
International Conference on Security in Pervasive Computing,ICSPC,A
International Conference on Software Reuse,ICSR,B
International Conference on Systems Research Informatics and Cybernetics,ICSRIC,C
International Conference Software and Systems Engineering and their Applications,ICSSEA,C
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B
International Conference on Software Testing Verification and Validation,ICST,A
IEEE International Conference on Telecommunications,ICT,C
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,C
International Colloquium on Theoretical Aspects of Computing,ICTAC,C
International Conference on Tools with Artificial Intelligence,ICTAI,B
International Conference on Technology and Business Management,ICTBM,C
Italian Conference on Theoretical Computer Science,ICTCS,C
International Conference on Information and Communication Technologies and Development,ICTD,C
ICT in Education Research and Industrial Applications,ICTERI,A
International Conference on the Theory of Information Retrieval,ICTIR,
International Conference on Temporal Logic,ICTL,A
International Conference on Testing Software and Systems,ICTSS,C
International Conference on Telecom Technology and Applications,ICTTA,C
IEEE Conference on Ultra Wideband Systems and Technologies,ICUWB,C
International Conference on Virtual Rehabilitation,ICVR,
International Conference on Computer Vision Systems,ICVS,C
International Conference on Virtual Storytelling (merged into ICIDS in 2008),ICVS,C
International Conference on Web Engineering,ICWE,B
IEEE International Conference on Wireless Information Technology and Systems,ICWITS,B
IEEE International Conference on Web Services,ICWS,A
International Conference on Web and Social Media,ICWSM,A
Intelligent Data Analysis,IDA,B
IEEE Conference on Information Decision and Control,IDC,C
Intelligent Distributed Computing,IDC,
Interaction Design and Children (ACM),IDC,B
International Conference on Digital Content Multimedia Technology and its Applications,IDC,C
International Database Conference (HK CS),IDC(W),L
International Conference on Informatics & Data-Driven Medicine,IDDM,C
Interior Design Educators Association (IDEA) Conference,IDEA,B
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,C
International Database Engineering and Applications Symposium,IDEAS,C
Integrated Data Environments Australia Workshop,IDEAW,A
International Workshop on Interactive Entertainment,IDET,C
IDF Congress,IDFC,C
Intelligence Tools Data Mining Visualization,IDV,C
Interactive Entertainment,IE,C
The International Conference on Intelligent Environments,IE,B
International Association of Ergonomics Societies Congress,IEA,B
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,C
Informatics Education Europe,IEE,C
IEEE International Conference on 3D Systems Integration (combines ASET & 3D),IEEE 3D IC,C
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,C
IEEE International Symposium on Artificial Life,IEEE Alife,C
IEEE Consumer Communications and Networking Conference,IEEE CCNC,B
IEEE Symposium on Computational Intelligence in Scheduling,IEEE CI-Sched,C
IEEE Workshop on Computational Intelligence in Aerospace Applications,IEEE CIAA,C
IEEE Workshop on Computational Intelligence in Biometrics: Theory Algorithms and Applications,IEEE CIB,C
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,C
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,C
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,C
IEEE Symposium on Computational intelligence for Image Processing,IEEE CIIP,C
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,C
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,C
IEEE Workshop on Computational Intelligence in Virtual Environments,IEEE CIVE,C
IEEE Workshop on Computational Intelligence for Visual Intelligence,IEEE CIVI,C
IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems,IEEE CIWS,C
IEEE International Conference on Digital EcoSystems and Technologies Conference,IEEE DEST,C
IEEE International Dynamic Spectrum Access Networks Symposium,IEEE DYSPAN,B
IEEE Workshop on Evolving and Self-Developing Intelligent Systems,IEEE ESDIS,C
IEEE Global Telecommunications Conference,IEEE GLOBECOM,B
IEEE Workshop on Hybrid Intelligent Models and Applications,IEEE HIMA,C
IEEE International Conference on High Performance Computing and Simulation,IEEE HPCS,C
IEEE Symposium on Intelligent Agents,IEEE IA,C
IEEE International Conference on Information and Automation,IEEE ICIA,A
IEEE Information Visualization Conference,IEEE InfoVis,A*
IEEE International Conference on Intelligent Systems,IEEE IS,C
Intelligent Vehicles Symposium,IEEE IV,B
IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making,IEEE MCDM,C
Natural Language Processing and Knowledge Engineering,IEEE NLP-KE,C
IEEE Workshop on Organic Computing,IEEE OC,C
IEEE International Conference on Radio Frequency Identification,IEEE RFID,B
IEEE Workshop on Robotic Intelligence in Informationally Structured Space,IEEE RiiSS,C
IEEE Swarm Intelligence Symposium,IEEE SIS,C
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,B
IEEE Symposium on Visual Analytics Science and Technology,IEEE VAST,C
IEEE Visualization,IEEE VIS,A
IEEE Workshop on Evolvable and Adaptive Hardware,IEEE WEAH,C
IEEE Workshop on Memetic Algorithms,IEEE WOMA,C
Intelligent Vehicles Conference,IEEE-IV,B
IEEE Transactions on Knowledge and Data Engineering,IEEETKDE,A
Intenational Environmental Modelling and Software Society,iEMSs,C
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C
International Federation of Automatic Control World Congress,IFAC,C
International Forum on Applied Wearable Computing,IFAWC,C
IFIP Information Security & Privacy Conference,IFIP SEC,B
IFIP International Conference on Theoretical Computer Science,IFIP TCS,C
Joint iTrust and PST Conferences on Privacy Trust Management and Security,IFIP TM,C
Integrated Formal Methods,IFM,B
Interiors Forum Scotland conference,IFS,B
IFSA World Congress,IFSA,C
Interiors Forum World Politecnico di Milano,IFW,B
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,C
IGIP - international Society for Engineering Education Annual Meeting,IGIP,C
International Group for Lean Construction Conference,IGLC,A
Information Hiding and Multimedia Security Workshop,IH&MMSec,C
International ICSC Congress on Intelligent Systems and Applications,IICISA,C
Information Integration and Web-based Applications and Services,IIWAS,C
International Joint Conference on Artificial Intelligence,IJCAI,A*
International Joint Conference on Automated Reasoning,IJCAR,A
International Joint Conference on Biometrics,IJCB,B
International Joint Conference on Computational Intelligence,IJCCI,C
International Joint Conference on Natural Language Processing,IJCNLP,B
International Joint Conference on Computational Linguistics,IJCNLP2,B
IEEE International Joint Conference on Neural Networks,IJCNN,B
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS,C
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),RSCTC,C
International Joint Workshop on Computational Creativity,IJWCC,B
International Conference on Information and Knowledge Engineering,IKE,A
Inductive Logic Programming,ILP,B
International Logic Programming Symposium,ILPS,A
International Conference of the Immersive Learning Research Network,iLRN,C
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,B
IMA International Conference on Cryptography and Coding,IMACC,C
Internet Measurement Conference,IMC,A
International Multi-Conference on Engineering and Technological Innovation,IMETI,C
International Conference on Immersive Telecommunications,IMMERSCOM,C
International Conference on Advanced Information Management,IMS,C
IASTED International Conference on Internet Multimedia Systems and Applications,IMSA,C
International Machine Vision and Image Processing Conference,IMVIP,A
IEEE Intell Network Workshop,IN,B
International Conference on Applications of Prolog (no information after 2013),INAP,C
International Conference on Declarative Programming and Knowledge Management (no information after 2013),INAP,C
IEEE International Symposium on Intelligence in Neural & Biological Systems,INBS,B
International Conference on Networked Computing,INC,C
Indian Conference on Human-Computer Interaction,IndiaHCI,A
International Conference on Cryptology in India,INDOCRYPT,A
Internet Society Conference,INET,C
International Workshop of the Initiative for the Evaluation of XML Retrieval,INEX,C
IEEE International Conference on Computer Communications,INFOCOM,A*
 International Conference on Advanced Communications and Computation,INFOCOMP,
IEEE International Scientific Conference on Informatics,IEEE International Scientific Conference on Informatics,C
IFIP Congress (Information Processing),IFIP Congress (Information Processing),C
Information Visualisation Theory and Practice,InfVis,C
International Symposium on Innovations in Intelligent Systems and Applications,INISTA,C
International Natural Language Generation Conference,INLG,B
IEEE International Multioptic Conference,INMIC,C
International Network Optimization Conference,INOC,C
SKLOIS Conference on Information Security and Cryptology,Inscrypt,A
Informing Science and Information Technology Education,InSITE,C
International Network for Tropical Architecture conferences,INTA,C
IFIP TC13 Conference on Human-Computer Interaction,IFIP TC13 Conference on Human-Computer Interaction,B
,,
Interoperating Geographic Information Systems,INTEROP,C
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,A
,,
INTUITION International Conference,INTUITION International Conference,C
IEEE International On-Line Testing Symposium,IOLTS,C
International Conference on Internet of Things Big Data and Security,IoTBDS,C
Infrastructure and Environment (International Postgraduate Conference),IPC,B
International Conference on Intelligent Pervasive Computing,IPC,C
IEEE International Performance Computing and Communications Conference,IPCCC,C
Conference on Integer Programming and Combinatorial Optimization,IPCO,A
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B
International Research Week Conference,IPGRC,C
International Planning History Society,IPHS,B
International Conference on Indoor Positioning and Indoor Navigation,IPIN,C
International Conference on Information Processing and Management of Uncertainty,IPMU,C
IEEE International Conference on Intelligent Processing Systems,IPS,C
Information Processing in Sensor Networks,IPSN,A*
International Python Conference,IPythC,C
 Information Retrieval Facility Conference,IRFC,
IEEE International Conference on Information Reuse and Integration,IRI,A
Information Systems Research Seminar in Scandinavia,IRIS,C
Information Resources Management Association International Conference,IRMA,B
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A
International Conference on Information Security and Assurance,ISA,C
International Symposium on Algorithms and Computation,ISAAC,A
International Symposium on Autonomous Decentralized Systems,ISADS,C
Conference for the International Simulation and Gaming Association,ISAGA,C
International Symposium on Artificial Intelligence and Mathematics,ISAIM,A
Automation and Robotics International Symposium,ISARC,B
International Symposium on Automation and Robotics in Construction,ISARC,C
International Conference on Information Systems Analysis and Synthesis,ISAS,C
International Conference Information Systems Architecture and Technology,ISAT,A
International Symposium on Audio Video Image Processing and Intelligent Applications,ISAVIIA,C
Institute for Small Business and Entrepreneurship Annual Conference,ISBE,C
IASTED International Conference on Intelligent Systems and Control,ISC,C
Industrial Simulation Conference,ISC,C
Information Security Conference,ISC,C
ISC High Performance (was International Supercomputing Conference),ISC,C
ACM International Symposium on Computer Architecture,ISCA,A*
IEEE Symposium on Computers and Communications,ISCC,C
International Symposium on Computer and Information Sciences,ISCIS,C
International Symposium on Communications and Information Technologies,ISCIT,B
International Symposium on Combinatorial Optimisation,ISCO,C
International Conference on Information Systems Development,ISD,A
International Conference on Intelligent Systems Designs and Applications,ISDA,C
International Symposium on Data privacy and E-Commerce,ISDPE,C
Conference of the International Society for Decision Support Systems,ISDSS,C
Integration of Software Engineering and Agent Technology,ISEAT,B
Information Systems Education Conference,ISECON,B
International Symposium on Empirical Software Engineering,ISESE,B
International Symposium on Future Software Technology,ISFST,C
International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,C
IEEE International Conference on Intelligence and Security Informatics,ISI,C
IEEE International Symposium on Intelligent Control,ISIC,B
International Symposium on Information and Communication Technologies,ISICT,C
International Symposium on Intelligent Multimedia Video and Speech Processing,ISIMP,C
International Symposium on Information Processing,ISIP,C
IEEE International Symposium on Information Theory,ISIT,B
International Symposium on Information Theory and Its Applications,ISITA,C
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,A
Australian Information Security Management Conference,ISM,A
IEEE International Symposium on Multimedia,ISM,C
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*
Intelligent Systems in Molecular Biology,ISMB,A*
International Symposium on Foundations of Intelligent Systems,ISMIS,C
International Symposium on Mathematical Morphology,ISMM,B
International Symposium on Memory Management,ISMM,C
International Symposium on Networks Computers and Communications,ISNCC,C
International Symposium on Neural Networks,ISNN,C
International Symposium on Leveraging Applications of Formal Methods Verification and Validation,ISoLA,C
IEEE International Symposium on Real-Time Distributed Computing,ISORC,C
International Symposium on Object Technologies for Advanced Software,ISOTAS,C
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,C
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B
International Symposium on Parallel and Distributed Computing,ISPDC,C
Information Security Practice and Experience Conference,ISPEC,C
Annual International Workshop on Presence,ISPR,C
International Symposium on Robotics,ISR,A
International Society of Rock Mechanics Series of Symposia and Conferences,ISRM,A
International Symposium on Robotics Research,ISRR,C
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,A*
International Symposium on Symbolic and Algebraic Computation,ISSAC,A
IEEE International Solid-State Circuits Conference,ISSCC,A
International Symposium on Spatial Data Infrastructures,ISSDI,C
International Symposium on Spatial Data Quality,ISSDQ,C
International Conference on Intelligent Sensors Sensor Networks and Information Processing,ISSNIP,B
International Symposium on Software Reliability Engineering,ISSRE,A
International Symposium on Software Testing and Analysis,ISSTA,A
International Conference on Information Systems Technology and its Application,ISTA,B
International Symposium on Technology and Society,ISTAS,C
Israel Symposium on Theory of Computing and Systems,ISTCS,A
International Symposium on Ubiquitous Virtual Reality,ISUVR,A
International Symposium on Visual Computing,ISVC,A
International Symposium on Voronoi diagrams in Science and Engineering,ISVD,C
IEEE International Symposium on Wearable Computers,ISWC,A*
International Semantic Web Conference,ISWC,A
International Conference on Internet Technologies and Applications,ITA,A
IEEE International Test Conference,ITC,B
International Teletraffic Congress,ITC,
International Conference on Information Technology: Coding and Computing,ITCC,C
Innovations in Theoretical Computer Science,ITCS,A
International Conference on IT Based Higher Education and Training,ITHET,C
International Conference on Information Technology Interfaces,ITI,C
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B
International Conference on Information Technology in Regional Areas,ITiRA,C
Symposium on Information Technology and Information Systems,ITIS,C
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,C
Conference on Interactive Theorem Proving (previously TPHOLs changed in 2009),ITP,A
International Conference on Trust Management,iTrust,C
International Conference on Intelligent Tutoring Systems,ITS,B
Information Theory Workshop,ITW,B
International Urban Design Conference,IUDC,C
International Conference on Intelligent User Interfaces,IUI,A
IUTAM Symposia series,IUTAM,A
International Conference on Information Visualisation,IV,C
Applications of Information Visualization,IV-App,C
Intelligent Virtual Agents,IVA,B
Information Visualization in Biomedical Informatics,IVBI,C
Image and Vision Computing Conference,IVCNZ,C
Information Visualization Evaluation,IVE,C
Int. Workshop on Multi-Media Data Base Management Systems,IW-MMDBMS,C
IWA World Water Congress,IWA,A
The International Workshop on Algorithms and Graphs,IWAAG,C
International Workshop on Aliasing Confinement and Ownership,IWACO,C
International Work-Conference on Artificial and Natural Neural Networks,IWANN,A
International Web Conference,IWC,C
International Workshop on Computer-Aided Software Eng,IWCASE,B
IEEE International Workshop on Cluster Computing and the Grid ,IWCC,C
International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,C
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B
International Workshop on Distributed Object Management,IWDOM,C
International Workshop on Digital Watermarking,IWDW,C
International Workshop on Intelligent Agents,IWIA,C
International Workshop on Incorporating COTS Software into Software Systems Tools and Techniques,IWICSS,C
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,A
International Workshop on Knowledge Discovery from Data Streams,IWKDDS,C
International Workshop on Combinatorial Algorithm,IWOCA,C
International Workshop on Paraphrasing,IWP,B
International Workshop on Parsing Technologies,IWPT,B
IEEE International Workshop on Quality of Service,IWQoS,B
International Workshop on Security,IWSEC,A
International Workshop in Software Measurement (Joined with Mensura from 2007),IWSM,C
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,C
International Workshop on Security Protocols,IWSP,C
International Workshop on Software Product Management,IWSPM,C
International Workshop on Satellite and Space Communications,IWSSC,C
International Workshop on Software Technology for Augmented Reality Systems,IWSTAR,C
Symposium on Cellular Automata,JAC,C
International Conference on the Statistical Analysis of Textual Data,JADT,C
Chilean Database Workshop,JCC/WBD(CDW),C
Japan Conference on Computational Geometry and Graphs,JCCGG,C
Japan Conference on Discrete and Computational Geometry,JCDCG,C
ACM Conference on Digital Libraries ,JCDL,A*
Joint Conference on Information Sciences,JCIS,C
Joint European Conference and Exhibition on Geographical Information Systems,JECGI,C
Logics in Artificial Intelligence European Conference,JELIA,A
Joint European Networking Conference,JENC,C
International French Speaking Conference on Logic and Constraint Programming,JFPLC,C
French Journées de Géométrie Algorithmique,JGA,C
Japanese-Hungarian Symposium on Discrete Mathematics and Its Applications,JH,C
Workshop On Java For High-Performance Computing,JHPC,C
Joint Modular Languages Conference,JMLC,B
JSME/ASME International Conference on Materials and Processing,JSME/ASME,A
Workshop on Job Scheduling Strategies for Parallel Processing,JSSPP,C
International Conference on Legal Knowledge and Information Systems,JURIX,C
Knowledge capture,K-CAP,B
Knowledge Acquisition Modelling and Management Workshop (No longer Exists),KAW,C
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*
Knowledge Discovery and Data Mining in Biological Databases Meeting,KDDMBD,C
Knowledge and Data Engineering Exchange Workshop,KDEX,C
Knowledge Domain Visualisation,KDViz,A
International Conference on Knowledge Engineering and Ontology Development,KEOD,C
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B
International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C
KES International Symposium on Intelligent Decision Technologies,KES IDT,C
International Symposium on Intelligent and Interactive Multimedia: Systems and Services,KES IIMSS,C
German Conference on Artificial Intelligence,KI,C
International Conference on Knowledge-based Intelligent Electronic Systems,KIES,C
Australasian Conference on Pattern Languages of Programs,KoalaPLoP,A
International Conference on Computing Education Research (Baltic Sea Conference on Computing Education Research prior to 2008),Koli Calling,B
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*
Knowledge Representation Meets Databases,KRDB,C
International Conference on Knowledge Science Engineering and Management,KSEM,C
Knowledge Visualization and Visual Thinking,KV,C
Kyoto International Conference on Computational Geometry and Graph Theory,KyotoCGGT,C
Workshop on Logic and Learning,L&L,C
Latin American Web Congress,LA-WEB,C
Latin-American Algorithms Graphs and Optimization Symposium,LAGOS,C
International Conference on Learning Analytics and Knowledge,LAK,A
IEEE LAN/MAN Workshop,LANMAN,C
NASA LaRC Formal Methods Workshop,LARC,C
International Conference on Language and Automata Theory and Applications,LATA,C
International Symposium on Latin American Theoretical Informatics,LATIN,B
IEEE Latin-American Conference on Communications,latincom,C
IASTED International conference Law and Technology,LawTech,C
International Workshop on Logic and Complexity in Computer Science,LCCS,C
International Conference on High-Performance Clustered Computing (International Conference on Linux Clusters),LCI,C
IEEE Conference on Local Computer Networks,LCN,B
ACM SIGPLAN Conference on Languages Tools and Compilers for Embedded Systems,LCTES,B
Language Data and Knowledge,LDK,B
Language Descriptions Tools and Applications,LDTA,B
Logic and Engineering of Natural Language Semantics,LENLS,B
Logical Foundations of Computer Science,LFCS,A
Law via the Internet,LI,C
IEEE Symposium on Logic in Computer Science,LICS,A*
Workshop on Localized Algorithms and Protocols for Wireless Sensor Networks,LOCALGOS,C
International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,C
Logic Programming and Automated Reasoning,LPAR,B
International Workshop on Logic Programming and Multi-Agents,LPMA,B
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,B
Language Resources and Evaluation Conference,LREC,B
Mechatronics and Machine Vision in Practice,M2VIP,B
European Workshop on Modelling Autonomous Agents in a Multi-Agent World,MAAMAW,C
Modern Asian Architecture Network conferences,mAAN,C
International Workshop on MultiAgent Based Simulation,MABS,C
MACIS: International Conference of Mathematical Aspects of Computer and Information Sciences,MACIS,C
Australian MADYMO Users Meeting,MADYMO,A
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,B
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B
Workshop on Massive Data Algorithmics,Workshop on Massive Data Algorithmics,C
Symposium on Frontiers of Massively Parallel Processing,MassPar,A
German Conference on Multi-Agent system Technologies,MATES,B
Net Object Days (Includings MATES ENASE etc.),MATES ENASE,A
Colloquium on Mathematics and Computer Science: Algorithms Trees Combinatorics and Probabilities,MathInfo,C
Australian MATLAB Conference,MATLAB,A
Multimedia Content Access: Algorithms and Systems (was Multimedia Content Analysis Management and Retrieval),MCA:AS,C
Australian Workshop on Mobile Computing Databases and Applications,MCDA,A
Australian Conference on Mathematics and Computers in Sport,MCSpo,A
Machines Computations and Universality (was Universal Machines and Computations),MCU,C
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B
Mobility in Databases and Distributed Systems,MDDS,C
International Conference on Mobile Data Management,MDM,B
International Workshop on Multimedia Data Storage Retrieval Integration and Applications,MDSRIA,C
International Conference on Management of Digital EcoSystems,MEDES,C
International Conference on Model and Data Engineering,MEDI,C
World Congress on Medical and Health Informatics,MEDINFO,B
International Conference on Medical Information  Visualisation,MediVis,C
Methods Effectives en Geometrie Algebrique,MEGA,B
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,C
Mining for Enhanced Web Search,MEWS,C
International Symposium on Mathematical Foundations of Computer Science,MFCS,A
International Conference on Mathematical Foundations of Programming Semantics,MFPS,B
International Workshop on Middleware for Grid Computing,MGC,C
IASTED International Conference on Modelling Identification and Control,MIC,C
Malaysia International Conference on Communications ,MICC,B
Medical Image Computing and Computer-Assisted Intervention,MICCAI,A
International Symposium on Microarchitecture,MICRO,A
ACM/IFIP/USENIX International Middleware Conference,Middleware,A
Mid-West Conference on Combinatorics Cryptography and Computing,MIGHTY,C
Entertainment and media in the ubiquitous era (ACM),MINDTREK,B
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,A
International Workshop on Modelling in Software Engineering,MISE,C
Multimedia and Network Information Systems,MISSI,A
Joint workshop on Multimodal Interaction and Related Machine Learning Algorithms (now ICMI-MLMI),MLMI,B
International Conference on Methods and Models in Automation and Robotics,MMAR,A
Mobile Media,MMC,B
ACM/SPIE Multimedia Computing and Networking,MMCN,A
ACM International Workshop On Multimedia Databases,MMDB,C
IEEE International Conference on Multimedia in Education,MME,C
Mathematical Methods in Computer Science,MMICS,C
International Conference on Multimedia Modelling,MMM,B
International Workshop on Multimedia Signal Processing,MMSP,C
Medicine Meets Virtual Reality,MMVR,B
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*
Workshop on Data Engineering for Wireless and Mobile Access,MobiDE,C
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B
The International Conference on Mobile Technology Applications and Systems,MOBILITY,C
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,C
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,
ACM SIGMOBILE International Conference on Mobile Systems Applications and Services,Mobisys,A
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,B
International Conference on Model Driven Engineering Languages and Systems (Previously UML changed in 2005),MODELS,A
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,C
International Congress on Modelling and Simulation,MODSIM,C
Congress of the Modelling and Simulation Society of Australia and New Zealand,Modsim 03,A
Multiple Objective Decision Support System Conference,MODSS,C
International Conference on Advances in Mobile Computing and Multimedia,MOMM,C
Modelling and Optimization: Theory and Applications,MOPTA,A
Summer School on Modelling and Verification of Parallel Processes,MOVEP,C
International Workshop on Modelling and Visualization of XML and Semantic Web Data,MOVIX,C
Mathematics of Program Construction,MPC,B
International Conference on Massively Parallel Computing Systems,MPCS,B
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,C
Workshop on Multiparadigm Programming with OO Languages,MPOOL,C
Massively Parallel Processing Using Optional Interconnections,MPPOI,B
IASTED International Conference on Modelling and Simulation,MS,C
SPIE International Conference on Multimedia Storage and Archiving Systems,MSAS,C
IEEE International Working Conference on Mining Software Repositories,MSR,A
IEEE Conference on Mass Storage Systems and Technologies,MSST,A
International Conference on Modeling Simulation and Visualization Methods,MSV,C
International Workshop on Modelling Simulation Verification and Validation of Enterprise Information Systems,MSVVEIS,C
ACM/IEEE International Conference on Modelling Analysis and Simulation of Wireless and Mobile Systems,MSWIM,A
Machine Translation Summit,MT SUMMIT,C
International Symposium on the Mathematical Theory of Networks and Systems,MTNS,C
Mensch & Computer,MuC,A
Mobile and Ubiquitous Multimedia (ACM),MUM,B
International Workshop on Metamodelling - Utilization in Software Engineering,MUSE,C
Machine Vision Applications,MVA,A
North American Association for Computational Linguistics,NAACL,A
National Advisory Committee on Computing Qualifications,NACCQ,C
NACE International - Corrosion,NACE International,A
North American Conference on Logic Programming,NACLP,C
North American Fuzzy Information Processing Society Conference,NAFIPS,C
NAISO Congress on Autonomous Intelligent Systems,NAISO,C
NATO Conference on software engineering,NATOSE,C
IEEE International Symposium on Network Computing and Applications,NCA,B
National Conference Communications,NCC,C
National Conference on Computer and Information Systems,NCCIS,C
National Database Conference (China),NDB,C
Usenix Network and Distributed System Security Symposium,NDSS,A*
Joint Conference on New Methods in Language Processing and Computational Natural Language Learning,NeMLaP,C
International Conference on Networks and Communications,NetCoM,C
International Conference on Network Softwarization,NetSoft,B
Network Storage Symposium,NetStore,A
IFIP International Conference on Networking,IFIP International Conference on Networking,B
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*
International Conference on Next Generation Wired/Wireless Advanced Networking,NEW2AN,C
The Northern Formal Methods Workshops,NFM,C
Networked Group Communication,NGC,C
International Symposium on Next Generation Data Base Systems and Applications,NGDB,C
National Science Foundation symposium on Next Generation Data Mining and Cyber Enabled Discovery for Innovation (was.NSF workshop on Next Generation Data Mining),NGDM,C
Workshop on Nature Inspired Distributed Computing,NISDIC,C
International Conference on New Trends of Information and Service Science,NISS,C
National Information Systems Security Conference (was National Computer Security Conference),NISSC,C
Applications of Natural Language to Data Bases,NLDB,C
IEEE International Workshop on Neural Networks for Signal Processing,NNSP,C
IEEE Network Operations and Management Symposium,NOMS,B
Norwegian Computer Human Interaction,NORDCHI,C
Nordic Design Research Conference,NORDES,B
Nordic Conference on Human-Computer Interaction,NordiCHI,B
Nordic Workshop on Secure IT Systems,NordSec,C
Network and Operating System Support for Digital Audio and Video,NOSSDAV,B
IFIP International Conference on Network and Parallel Computing,NPC,C
Annual IASTED International Conference on Networks Parallel and Distributed Processing and Applications,NPDP,C
International Conference on Neural Parallel and Scientific Computations,NPSC,C
International Workshop on Nonmonotonic Reasoning Action and Change,NRAC,C
Workshop on Network-Related Data Management,NRDM,C
Symposium on Networked Systems Design and Implementation,NSDI,A
New Security Paradigms Workshop,NSPW,C
International Conference on network and System Security,NSS,B
New Technologies Mobility and Security,NTMS,C
European Conference on Numerical Methods in Geotechnical Engineering,NUMGE,A
Numerical Models in Geomechanics,NUMOG,A
International Conference on Next Generation Web Services Practices,NWESP,C
New Zealand Game Developers Conference,NZGDC,C
Organisations and Society in Information Systems Workshop,OASIS,C
AoM Organizational Communication and Information Systems,OCIS,A
Open and Distance Learning Association of Australia Bienniel Forum,ODLA,A
IFIP International Conference on Open Distributed Processing,ODP,B
Optimal Discrete Structures and Algorithms,ODSA,C
Joint OECC IOCC & ACOFT,OESS/IOCC/ACOFT,C
Workshop on On-Line Algorithms,OLA,C
Onward Software Engineering,Onward Software Engineering,C
Workshop on Object-Oriented Database Systems,OODBS,C
International Conference on Object Oriented Information Systems,OOIS,C
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A
SIAM Conference on Optimization,OP,C
IEEE Conference on Open Architecture and Network Programming,OPENARCH,A
International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,C
International Conference on Principles of Distributed Systems,OPODIS,B
